"year","location","longitude","latitude","planting.date","harvest.date","elevation"
2014,"Aurora",-76.65,42.73,2014-05-28,2014-12-02,261
2014,"CollegeStation",-96.43394444,30.54684444,2014-03-01,2014-08-21,68
2014,"Columbia",-92.20997,38.898702,2014-05-07,2014-10-22,270
2014,"Georgetown",-75.204048,38.637405,2014-05-05,2014-09-29,4
2014,"Waterloo",-80.42696111,43.497025,2014-05-19,2014-11-04,336
2014,"WestMadison",-89.53098611,43.05706111,2014-05-09,2014-10-28,328
2015,"Aurora",-76.653275,42.732712,2015-05-07,2015-11-16,259
2015,"CollegeStation",-96.43468,30.546769,2015-03-07,2015-07-28,68
2015,"Columbia",-92.20833333,38.89608333,2015-05-04,2015-10-06,270
2015,"Georgetown",-75.465973,38.629977,2015-04-29,2015-09-14,13
2015,"Waterloo",-80.448907,43.497347,2015-04-30,2015-10-15,328
2016,"Aurora",-76.6551,42.725428,2016-05-10,2016-12-08,254
2016,"CollegeStation",-96.43468,30.546769,2016-03-04,2016-08-05,68
2016,"Columbia",-92.20754,38.89497,2016-05-23,2016-10-07,271
2016,"Georgetown",-75.45159,38.64865,2016-04-25,2016-09-14,13
2016,"Waterloo",-80.451969,43.499678,2016-05-04,2016-10-15,331
2016,"WestMadison",-89.531689,43.056867,2016-05-09,2016-10-14,329
2017,"Aurora",-76.65327,42.73219,2017-05-18,2017-11-24,259
2017,"Columbia",-92.20483,38.89238,2017-05-15,2017-10-19,270
2017,"Georgetown",-75.433932,38.669557,2017-04-28,2017-09-08,13
2017,"Waterloo",-80.42613,43.49604,2017-05-17,2017-10-31,336
2017,"WestMadison",-89.53105,43.05718,2017-05-05,2017-10-19,328
